Category	SubCategory	Name	Mapping
Flight Control Surfaces		Ailerons Axis	LS:X
Flight Control Surfaces		Elevator Axis	LS:Y
Flight Control Surfaces		Rudder Axis Left	LT
Flight Control Surfaces		Rudder Axis Right	RT
Flight Control Surfaces		Decrease Flaps	B, ▲
Flight Control Surfaces		Increase Flaps	B, ▼
Flight Control Surfaces		Toggle Spoilers	B, ▶
Flight Control Surfaces		Toggle Arm Spoilers	B, Y, ▶
Flight Control Surfaces		Elevator Trim Down	Y
Flight Control Surfaces		Elevator Trim Up	X
Flight Control Surfaces		Aileron Trim	B, LS:X
Flight Control Surfaces		Set Aileron Trim (0)	B, LS:Y
Flight Control Surfaces		Rudder Trim	B, Y, LS:X
Flight Control Surfaces		Rudder Trim Reset	B, Y, LS:Y
Power Management	Throttle	Decrease Throttle	LB
Power Management	Throttle	Increase Throttle	RB
Power Management	Throttle	Throttle Next Detent	B, RB
Power Management	Throttle	Throttle Prev Detent	B, LB
Power Management	Throttle	Arm Autothrottle	LB, RB
Power Management	Throttle	Autothrottle TOGA	B, LB, RB
Power Management	Throttle	Toggle Reverse Thrust	B, ◀
Power Management	Mixture	Decrease Mixture	B, Y, LB
Power Management	Mixture	Increase Mixture	B, Y, RB
Power Management	Mixture	Set Best Mixture	B, Y, LB, RB
Power Management	Propeller	Decrease Propeller Pitch	A, ◀
Power Management	Propeller	Increase Propeller Pitch	A, ▶
Instruments And Systems	Cockpit Interaction	Interaction Toggle	A, LS
Instruments And Systems	Cockpit Interaction	Cursor Toggle	B, LS
Instruments And Systems	Cockpit Interaction	Primary Action	A
Instruments And Systems	Cockpit Interaction	Secondary Action	X
Instruments And Systems	Cockpit Interaction	Tertiary Action	Y
Instruments And Systems	Flight Instruments	Decrease Altimeter	A, ▲
Instruments And Systems	Flight Instruments	Increase Altimeter	A, ▼
Instruments And Systems	Flight Instruments	Decrease Heading BUG	B, LT
Instruments And Systems	Flight Instruments	Increase Heading BUG	B, RT
Instruments And Systems	Flight Instruments	Set AP Current HDG	B, LT, RT
Instruments And Systems	Brakes And Landing Gears	Brakes	A
